len,segNum,time(ms)
7293,6525,7
7293,6909,10
7293,7293,7
7480,393,102
7480,787,65
7480,1181,54
7480,1574,39
7480,1968,34
7480,2362,26
7480,2755,22
7480,3149,25
7480,3543,21
7480,3936,15
7480,4330,18
7480,4724,13
7480,5117,13
7480,5511,10
7480,5905,9
7480,6298,11
7480,6692,8
7480,7086,8
7480,7480,13
7667,403,91
7667,807,62
7667,1210,45
7667,1614,43
7667,2017,36
7667,2421,26
7667,2824,25
7667,3228,26
7667,3631,17
7667,4035,21
7667,4438,19
7667,4842,20
7667,5245,13
7667,5649,11
7667,6052,12
7667,6456,9
7667,6859,3
7667,7263,6
7667,7667,7
7854,413,97
7854,826,68
7854,1240,52
7854,1653,42
7854,2066,37
7854,2480,29
7854,2893,16
7854,3306,24
7854,3720,22
7854,4133,17
7854,4547,19
7854,4960,15
7854,5373,15
7854,5787,6
7854,6200,11
7854,6613,12
7854,7027,10
7854,7440,10
7854,7854,14
8041,423,99
8041,846,72
8041,1269,47
8041,1692,43
8041,2116,36
8041,2539,26
8041,2962,109
8041,3385,23
8041,3808,18
8041,4232,21
8041,4655,22
8041,5078,13
8041,5501,15
8041,5924,14
8041,6348,12
8041,6771,13
8041,7194,10
8041,7617,11
8041,8041,16
